DESCRIPTION	SYMBOL	IPA	IPA UNICODE	CATEGORY
pot	AA	ɒ	U+0252	syllabic
pat	AE	æ	U+00E6	syllabic
cut	AH	ʌ	U+028C	syllabic
#but: schwa is transcribed AH0 in CMU!!
allow	AX	ə	U+0259	syllabic
cause	AO	ɔ	U+0254	syllabic
rouse	AW	a⁀ʊ	U+0061U+2040U+028A	syllabic
rise	AY	a⁀ɪ	U+0061U+2040U+026A	syllabic
bin	B	b	U+0062	non syllabic
chin	CH	t⁀ʃ	U+0074U+2040U+0283	non syllabic
din	D	d	U+0064	non syllabic
this	DH	ð	U+00F0	non syllabic
pet	EH	ɛ	U+025B	syllabic
furs	ER	ɝ	U+025D	syllabic
raise	EY	e⁀ɪ	U+0065U+2040U+026A	syllabic
fin	F	f	U+0066	non syllabic
give	G	g	U+0067	non syllabic
hit	HH	h	U+0068	non syllabic
pit	IH	ɪ	U+026A	syllabic
ease	IY	i	U+0069	syllabic
gin	JH	d⁀ʒ	U+0064U+2040U+0292	non syllabic
kin	K	k	U+006B	non syllabic
long	L	l	U+006C	non syllabic
mock	M	m	U+006D	non syllabic
knock	N	n	U+006E	non syllabic
thing	NG	ŋ	U+014B	non syllabic
nose	OW	o⁀ʊ	U+006FU+2040U+028A	syllabic
noise	OY	ɔ⁀ɪ	U+0254U+2040U+026A	syllabic
pin	P	p	U+0070	non syllabic
wrong	R	r	U+0072	non syllabic
sin	S	s	U+0073	non syllabic
shin	SH	ʃ	U+0283	non syllabic
tin	T	t	U+0074	non syllabic
thin	TH	θ	U+03B8	non syllabic
put	UH	ʊ	U+028A	syllabic
lose	UW	u	U+0075	syllabic
vim	V	v	U+0076	non syllabic
wasp	W	w	U+0077	non syllabic
yacht	Y	j	U+006A	non syllabic
zing	Z	z	U+007A	non syllabic
measure	ZH	ʒ	U+0292	non syllabic
syllable delimiter	$	.	U+002E	syllable delimiter
primary stress	1	ˈ	U+02C8	stress
secondary stress	2	ˌ	U+02CC	stress
#no stress	0		stress
phoneme delimiter	 			phoneme delimiter
